panid	units	On	Sdate	Zon	A0_5	A6_18	A19_65	A65	Gen	FS	ABS	C_Dis	MFSD	price1	price2	price3	price4	price5	price6	price7	price8	br1	br2	br3	br4	br5	br6	br7	br8	NP
5	0	0	15837	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	2.16	1.39	0.91	0.73	2.22	2.49	0	0	0	0	0	0	0	0	1
5	1	0	15840	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	2.16	1.39	0.91	0.73	2.22	2.49	0	0	0	0	0	0	1	0	0
5	0	0	15848	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	2.16	1.39	0.91	0.76	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15852	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	2.16	1.45	0.91	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15855	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	2.16	1.45	0.91	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15870	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.39	0.91	0.65	2.16	2.19	0	0	0	0	0	0	0	0	1
5	0	0	15874	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.39	0.91	0.65	2.16	2.19	0	0	0	0	0	0	0	0	1
5	0	0	15884	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.39	0.94	0.65	2.22	2.19	0	0	0	0	0	0	0	0	1
5	0	0	15898	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	0.99	1.99	1.39	0.86	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15903	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	0.99	1.99	1.39	0.86	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15908	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	0.99	1.99	1.39	0.86	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15917	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	0.99	2.09	1.45	0.94	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	15918	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.09	1.39	0.65	0.65	2.16	2.49	0	0	0	0	0	0	0	0	1
5	1	0	15924	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.45	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	1	0
5	1	0	15924	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.45	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	1	0
5	0	0	15928	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.09	1.45	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	15930	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.09	1.45	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	0	1
5	1	0	15952	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.45	0.59	0.69	2.16	2.55	0	0	0	1	0	0	0	0	0
5	1	0	15954	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.45	0.59	0.69	2.16	2.55	0	0	0	0	0	0	0	1	0
5	1	0	15956	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.45	0.59	0.71	2.22	2.55	1	0	0	0	0	0	0	0	0
5	1	0	15963	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.39	0.59	0.69	2.16	2.55	0	0	0	0	0	0	0	1	0
5	0	0	15968	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.45	0.45	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	15982	2	0	0	5	0	0	5	65.17	0.6	1.1	0.59	0.99	2.22	1.45	0.89	0.65	2.22	2.55	0	0	0	0	0	0	0	0	1
5	1	0	15987	1	0	0	5	0	0	5	65.17	0.6	1.1	0.59	0.99	2.16	1.39	0.91	0.65	2.16	2.49	0	0	0	1	0	0	0	0	0
5	0	0	15989	2	0	0	5	0	0	5	65.17	0.6	1.1	0.59	0.99	2.22	1.39	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	16001	1	0	0	5	0	0	5	65.17	0.6	1.1	0.59	1.06	2.16	1.39	0.91	0.65	2.16	2.55	0	0	0	0	0	0	0	0	1
5	0	0	16003	2	0	0	5	0	0	5	65.17	0.6	1.1	0.59	0.99	2.22	1.39	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	16013	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.39	0.91	0.69	2.16	2.19	0	0	0	0	0	0	0	0	1
5	0	0	16016	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.45	0.94	0.71	2.22	2.19	0	0	0	0	0	0	0	0	1
5	0	0	16020	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.39	0.91	0.69	2.16	2.19	0	0	0	0	0	0	0	0	1
5	0	0	16028	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	0.99	2.22	1.45	0.94	0.71	2.22	2.19	0	0	0	0	0	0	0	0	1
5	0	0	16031	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	0.99	2.22	1.45	0.94	0.71	2.22	2.19	0	0	0	0	0	0	0	0	1
5	0	0	16038	1	0	0	5	0	0	5	65.17	0.6	1.1	0.6	0.99	2.16	1.39	0.91	0.65	2.16	2.49	0	0	0	0	0	0	0	0	1
6	0	1	15677	3	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.12	1.41	1.00	0.65	2.12	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15678	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.12	1.41	1.00	0.65	2.12	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15688	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15694	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.35	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15698	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.35	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15704	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.35	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15704	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.35	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15719	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15725	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15728	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15729	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15734	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15740	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.45	0	0	0	0	0	0	0	0	1
6	0	0	15754	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15763	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15774	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	2.22	1.41	0.94	0.81	2.22	2.55	0	0	0	0	0	0	0	0	1
